,start_location,end_location
0,"(29594.786692927737, 27454.91882231229)","(29578.79459283396, 27456.98261847641)"
1,"(29578.79459283396, 27456.98261847641)","(29553.503057426133, 27342.840555100673)"
2,"(29553.503057426133, 27342.840555100673)","(29404.684365197143, 27360.28809115998)"
3,"(29404.684365197143, 27360.28809115998)","(28708.256511830084, 27286.53687315187)"
4,"(28708.256511830084, 27286.53687315187)","(28462.008398272243, 27163.387566147692)"
5,"(28462.008398272243, 27163.387566147692)","(28307.624032818538, 27078.364767999417)"
6,"(28307.624032818538, 27078.364767999417)","(28278.410258981545, 26980.39247040116)"
7,"(28278.410258981545, 26980.39247040116)","(28177.302591428772, 27010.935024403938)"
8,"(28177.302591428772, 27010.935024403938)","(28267.472032249876, 25948.025306597265)"
9,"(28267.472032249876, 25948.025306597265)","(27535.329633627756, 25699.90667738879)"
10,"(27535.329633627756, 25699.90667738879)","(27445.606966965468, 25599.113021672034)"
11,"(27445.606966965468, 25599.113021672034)","(27503.156641973983, 25571.03979020132)"
12,"(27503.156641973983, 25571.03979020132)","(27686.234449859243, 25454.877247918368)"
13,"(27045.623790312122, 28361.887733702693)","(26949.616874769577, 28298.976830014057)"
14,"(26949.616874769577, 28298.976830014057)","(27008.695341219005, 28200.629883443617)"
15,"(27008.695341219005, 28200.629883443617)","(27016.52385628593, 28127.494434053282)"
16,"(27016.52385628593, 28127.494434053282)","(26924.16594284406, 28096.99359715366)"
17,"(26924.16594284406, 28096.99359715366)","(27197.533931349608, 28129.16232792873)"
18,"(27197.533931349608, 28129.16232792873)","(27746.879303696187, 27062.23396649558)"
19,"(27746.879303696187, 27062.23396649558)","(27932.529280287243, 27031.552235506155)"
20,"(24660.73885298845, 24191.32408723494)","(24667.132472749392, 24164.80280619787)"
21,"(24667.132472749392, 24164.80280619787)","(24670.34551886782, 24120.5468171979)"
22,"(24670.34551886782, 24120.5468171979)","(24593.769707466796, 24099.294605265284)"
23,"(24593.769707466796, 24099.294605265284)","(23965.423477409975, 23619.058555319294)"
24,"(23965.423477409975, 23619.058555319294)","(23974.271482021548, 23603.462316817284)"
25,"(24660.73885298845, 24191.32408723494)","(24667.132472749392, 24164.80280619787)"
26,"(24667.132472749392, 24164.80280619787)","(24670.34551886782, 24120.5468171979)"
27,"(24670.34551886782, 24120.5468171979)","(24612.402524274876, 24097.793316883297)"
28,"(24612.402524274876, 24097.793316883297)","(24738.548080680164, 23799.78420905865)"
29,"(24738.548080680164, 23799.78420905865)","(24187.891488889887, 23133.22403730001)"
30,"(24187.891488889887, 23133.22403730001)","(23539.039376804314, 22939.122904087853)"
31,"(23539.039376804314, 22939.122904087853)","(23793.486658709226, 22514.446936638007)"
32,"(23793.486658709226, 22514.446936638007)","(23764.024429622543, 22450.094439529377)"
33,"(25468.4264464233, 26993.545720925118)","(25470.196534566712, 26979.34208969315)"
34,"(25470.196534566712, 26979.34208969315)","(25492.73497775072, 26988.29595366589)"
35,"(25492.73497775072, 26988.29595366589)","(25561.615446538664, 26913.03493863446)"
36,"(25561.615446538664, 26913.03493863446)","(26181.425878638474, 27235.049621327926)"
37,"(26181.425878638474, 27235.049621327926)","(26084.44756021937, 27377.935042246158)"
38,"(26084.44756021937, 27377.935042246158)","(26318.778684586534, 27534.993277241912)"
39,"(26318.778684586534, 27534.993277241912)","(26371.06159919205, 27597.809320837405)"
40,"(26371.06159919205, 27597.809320837405)","(26510.302919004433, 27702.500510842277)"
41,"(26510.302919004433, 27702.500510842277)","(26579.631128297202, 27753.031234996015)"
42,"(26579.631128297202, 27753.031234996015)","(26865.858780195165, 27917.845246935583)"
43,"(26865.858780195165, 27917.845246935583)","(26806.288624367648, 28056.767780172086)"
44,"(26806.288624367648, 28056.767780172086)","(26901.08141280667, 28091.46991442822)"
45,"(26901.08141280667, 28091.46991442822)","(26893.93964189703, 28198.79776032237)"
